area_name,area_code,population_max,population_max_0,population_max_1,population_max_2,population_max_3,population_max_4,population_max_5,population_max_6,population_max_7,population_max_8,population_max_9,population_max_10,population_man_max,population_man_0,population_man_1,population_man_2,population_man_3,population_man_4,population_man_5,population_man_6,population_man_7,population_man_8,population_man_9,population_man_10,population_woman_max,population_woman_0,population_woman_1,population_woman_2,population_woman_3,population_woman_4,population_woman_5,population_woman_6,population_woman_7,population_woman_8,population_woman_9,population_woman_10
서울특별시  ,1100000000,9520880,586559,758445,1426394,1440774,1483164,1507704,1285127,695892,293290,41521,2010,4624290,301243,388791,686810,719415,734754,742848,607002,316719,115686,10523,499,4896590,285316,369654,739584,721359,748410,764856,678125,379173,177604,30998,1511
서울특별시 종로구 ,1111000000,145073,7039,10465,22896,19473,21065,24982,20362,11659,6146,944,42,70393,3571,5195,11038,9695,10192,12572,10158,5191,2486,282,13,74680,3468,5270,11858,9778,10873,12410,10204,6468,3660,662,29
서울특별시 종로구 청운효자동,1111051500,12006,749,1151,1575,1583,2090,1923,1401,933,525,74,2,5542,386,612,777,734,921,876,628,369,216,23,0,6464,363,539,798,849,1169,1047,773,564,309,51,2
서울특별시 종로구 사직동,1111053000,9367,555,672,1199,1456,1476,1536,1205,706,476,85,1,4210,278,297,545,639,650,699,570,295,204,32,1,5157,277,375,654,817,826,837,635,411,272,53,0
서울특별시 종로구 삼청동,1111054000,2467,101,173,327,304,345,386,409,247,144,25,6,1177,46,99,167,140,166,197,189,114,47,11,1,1290,55,74,160,164,179,189,220,133,97,14,5
서울특별시 종로구 부암동,1111055000,9629,500,863,1236,1218,1563,1689,1350,741,391,74,4,4597,251,467,644,591,709,772,646,338,160,18,1,5032,249,396,592,627,854,917,704,403,231,56,3
서울특별시 종로구 평창동,1111056000,18152,1154,1585,2356,2182,2683,3259,2666,1303,799,158,7,8455,605,783,1171,1013,1205,1484,1251,585,320,35,3,9697,549,802,1185,1169,1478,1775,1415,718,479,123,4
서울특별시 종로구 무악동,1111057000,8292,652,990,904,903,1413,1429,1045,585,327,40,4,3857,297,447,426,407,665,736,487,248,129,13,2,4435,355,543,478,496,748,693,558,337,198,27,2
서울특별시 종로구 교남동,1111058000,10069,830,789,1209,1577,1796,1585,1176,724,338,41,4,4635,414,371,557,707,841,769,534,290,139,13,0,5434,416,418,652,870,955,816,642,434,199,28,4
서울특별시 종로구 가회동,1111060000,4127,184,320,478,541,701,716,572,388,193,32,2,1900,97,163,218,257,329,335,265,153,77,5,1,2227,87,157,260,284,372,381,307,235,116,27,1
