area_name,citi_name,area_size,citi_size,citi_percent,non_citi_size,non_citi_percent
전국,소계,1.00413E+11,26173599139,26,74239000135,74
서울특별시,소계,605228563,605228563,100,0,0
서울특별시 종로구,종로구,23913172,23913172,100,0,0
서울특별시 중구,중구,9960308,9960308,100,0,0
서울특별시 용산구,용산구,21866145,21866145,100,0,0
서울특별시 성동구,성동구,16861004,16861004,100,0,0
서울특별시 광진구,광진구,17062940,17062940,100,0,0
서울특별시 동대문구,동대문구,14215624,14215624,100,0,0
서울특별시 중랑구,중랑구,18496083,18496083,100,0,0
서울특별시 성북구,성북구,24576835,24576835,100,0,0
서울특별시 강북구,강북구,23600355,23600355,100,0,0
서울특별시 도봉구,도봉구,20651082,20651082,100,0,0
서울특별시 노원구,노원구,35437648,35437648,100,0,0
서울특별시 은평구,은평구,29710905,29710905,100,0,0
서울특별시 서대문구,서대문구,17626369,17626369,100,0,0
서울특별시 마포구,마포구,23850355,23850355,100,0,0
서울특별시 양천구,양천구,17405714,17405714,100,0,0
서울특별시 강서구,강서구,41436846,41436846,100,0,0
서울특별시 구로구,구로구,20119911,20119911,100,0,0
서울특별시 금천구,금천구,13020252,13020252,100,0,0
서울특별시 영등포구,영등포구,24548198,24548198,100,0,0
서울특별시 동작구,동작구,16353982,16353982,100,0,0
서울특별시 관악구,관악구,29569356,29569356,100,0,0
서울특별시 서초구,서초구,46981481,46981481,100,0,0
서울특별시 강남구,강남구,39501008,39501008,100,0,0
서울특별시 송파구,송파구,33872510,33872510,100,0,0
서울특별시 강동구,강동구,24590480,24590480,100,0,0
부산광역시,소계,770074767,680367214,88,89707553,12
부산광역시 중구,중구,2825790,2825790,100,0,0
부산광역시 서구,서구,13956280,13956280,100,0,0
부산광역시 동구,동구,9864621,9864621,100,0,0
부산광역시 영도구,영도구,14199798,14199798,100,0,0
부산광역시 부산진구,부산진구,29667537,29667537,100,0,0
부산광역시 동래구,동래구,16631311,16631311,100,0,0
부산광역시 남구,남구,26819285,26819285,100,0,0
부산광역시 북구,북구,39369729,39369729,100,0,0
부산광역시 해운대구,해운대구,51502753,51502753,100,0,0
